date,startup,vertical,subvertical,city,investor,round,amount
11/7/2021,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,618.75
11/7/2021,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,24.75
11/9/2021,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,16.5
11/9/2021,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,99
11/10/2021,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,8.25
11/10/2021,Yottaasys,Technology,Data Sciences platform,Bangalore,Gleevoaz Ventures,Private Equity,0
11/10/2021,Tone Tag,Technology,Contactless Payment Solution,Bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",Private Equity,0
11/11/2021,Life in Control,Consumer Internet,Online Diabetes Management platform,Gurgaon,RoundGlass Partners,Private Equity,0
11/14/2021,Active.ai,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,24.75
11/14/2021,ElasticRun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,16.5
11/15/2021,NoBroker,Consumer Internet,Online Rental discovery,Bangalore,Vijay Shekhar Sharma,Seed Funding,0
11/15/2021,Zefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,49.5
11/15/2021,PlaySimple,Technology,Mobile Gaming portal,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,33
11/16/2021,Stasis Labs,Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,41.25
11/17/2021,Scienaptic,Technology,Data Analytics platform,Bangalore,Pramod Bhasin,Seed Funding,0
11/17/2021,Koovs,eCommerce,Fashion eTailer,New Delhi,Times of India Group & Existing investors,Private Equity,111.375
11/17/2021,Lawrato,Consumer Internet,Free Legal Advice,New Delhi,Indian Angel Network,Seed Funding,0
11/17/2021,Trip Tap Toe,Consumer Internet,Online Travel Portal,Gurgaon,R.S Sharma,Seed Funding,0
11/17/2021,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,1.21275
11/18/2021,GramCover,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed Funding,8.25
11/18/2021,AerMed,eCommerce,Online Pharmacy,Mumbai,Hitesh Windlass,Seed Funding,0
11/18/2021,WorkIndia,Consumer Internet,Job Board for Clue Collar Jobs,Mumbai,Asuka Holdings,Seed Funding,0
11/21/2021,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding,0.7425
11/21/2021,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,5.3625
11/22/2021,Housing.com,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,41.25
11/22/2021,Awesummly,Consumer Internet,Short News Mobile App,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,1.21275
11/22/2021,VoLT,Consumer Internet,Ed-Tech Platform,Mumbai,YMS Mobitech,Seed Funding,0
